Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,PlayerId
"Gerrit Cole","NYY","SP",7.699999809265137,191.801,6.3737622069756785,-1.5017901580503095,6.52608402505368,8.230046954302479,6.662897762345553,26.291000790627077,9.9078506423059,37.19885143293298,"13125"
"Jacob deGrom","NYM","SP",23.989999771118164,146.03,1.8210925485847234,-1.5017901580503095,11.055923828094965,9.899354097018445,4.074555941801522,25.34913625744935,9.9078506423059,36.25698689975525,"10954"
"Corbin Burnes","MIL","SP",11.9399995803833,168.822,2.8601220724075285,-1.5017901580503095,6.61494075084808,6.537296528073977,4.575322915146962,19.085892108426236,9.9078506423059,29.993742750732135,"19361"
"Max Scherzer","NYM","SP",19.06999969482422,174.764,3.6117864424680155,-1.5017901580503095,5.040063482615731,6.584647622217734,4.779042481644628,18.513749870895797,9.9078506423059,29.4216005132017,"3137"
"Shane Bieber","CLE","SP",31.90999984741211,174.903,3.756502700561097,-1.5017901580503095,4.145442741213022,4.017689830159476,4.384166198291389,14.802011312174676,9.9078506423059,25.709861954480576,"19427"
"Zack Wheeler","PHI","SP",24.219999313354492,198.423,4.100372503020875,-1.5017901580503095,3.5009644086054026,4.151398308088124,3.6673561647542834,13.918301226418377,9.9078506423059,24.826151868724278,"10310"
"Brandon Woodruff","MIL","SP",19.34000015258789,179.24,2.7446225228106136,-1.5017901580503095,3.901677904399831,4.775169132024128,3.533399797836591,13.453079199020852,9.9078506423059,24.36092984132675,"16162"
"Walker Buehler","LAD","SP",16.940000534057617,191.679,4.410927297516847,-1.5017901580503095,1.4754633005836064,3.6965163306759186,3.2348742964886466,11.31599106721471,9.9078506423059,22.223841709520613,"19374"
"Robbie Ray","SEA","SP",49.119998931884766,181.641,2.2733367409339644,-1.5017901580503095,0.9823788910839112,1.3397186773056884,5.3974629163755585,8.491107067648812,9.9078506423059,19.39895770995471,"11486"
"Chris Sale","BOS","SP",55.72999954223633,157.042,1.955804265098551,-1.5017901580503095,1.7080953287321952,2.813325704236096,2.9939267743831426,7.969361914399676,9.9078506423059,18.877212556705576,"10603"
"Max Fried","ATL","SP",72.2699966430664,178.177,5.248874508678082,-1.5017901580503095,2.7487979868879604,-0.803929570924659,1.7557298724185444,7.44768263900962,9.9078506423059,18.355533281315516,"13743"
"Aaron Nola","PHI","SP",40.65999984741211,181.908,2.6596652101741443,-1.5017901580503095,-0.3680211945075509,2.222884635236477,4.02480328092579,7.03754177377855,9.9078506423059,17.945392416084452,"16149"
"Lucas Giolito","CHW","SP",44.38999938964844,179.939,3.0235938475310347,-1.5017901580503095,-0.7235185978419535,2.0032460804506846,3.775869280472592,6.577400452562047,9.9078506423059,17.485251094867948,"15474"
"Freddy Peralta","MIL","SP",55.540000915527344,159.932,2.2438206335822604,-1.5017901580503095,-0.06417269030916635,2.001637337981214,3.7348173513514107,6.414312474555408,9.9078506423059,17.322163116861308,"18679"
